form	flagged	total	fraction
OPNAV3130-25 - Surface Rescue Swimmer Practical Training Waiver	2	9	0.22
OPNAV1500-54 - Deliberate Risk Assessment	7	32	0.22
NAVMC11803 - Computation Of Traverse Closure And Adjustment	6	29	0.21
NAVPERS1300-26 - Coastal Riverine Force Training	15	73	0.21
OPNAV5119-8 - Ashore Oconus Weekly Inspection Checklist	46	229	0.20
NAVMC11622 - PFT-CFT Performance Worksheet	6	30	0.20
NAVPERS5370-1 - Hotline Complaint Form	6	30	0.20
OPNAV12600-1 - Nv11 Remote Work Agreement	5	25	0.20
NAVMC799 - Equivalent Instruction Report	3	15	0.20
OPNAV4790-135 - Module Service Record	25	129	0.19
NAVMCHQ958 - Request For Statement Of Service Case Of	6	31	0.19
NAVMC11901 - Prospective Fsmao - Analyst Worksheet	9	47	0.19
NAVMC11629 - Emergency Response Guideline Checklist	4	21	0.19
OPNAV3750-68 - Wamhrs FactorsRecommendationCos Comments Special Factor	3	16	0.19
OPNAV12330-4 - Merit Promotion Certificate Extension Request	3	17	0.18
NAVMC11620 - MAP Evaluation	11	66	0.17
OPNAV1770-1 - Consent To Release Personal Information	2	12	0.17
NAVPERS1070-613 - Administrative Remarks	2	12	0.17
NAVMC10461 - Service Agreement (1100) Platoon Leaders Class Student Naval Aviator	1	6	0.17
NAVMC10463 - Service Agreement (1100) Officer Candidate Class Student Naval Aviator	1	6	0.17
NAVMC11729 - Service Agreement (1100) - Platoon Leaders Class (law) 3l	1	6	0.17
NAVMC11873 - Service Agreement (1100) Enlisted Commissioning Program Student Naval Aviator	1	6	0.17
NAVMC11874 - Service Agreement - Enlisted Commissioning Program Student Naval Flight Officer	1	6	0.17
NAVMC11875 - Service Agreement - Reserve Enlisted Commissiioning Program - Ground	1	6	0.17
NAVMC11876 - Service Agreement - Meritorious Commissioning Program - Reserve Ground	1	6	0.17
NAVMC11880 - Service Agreement (1100) Marine Option Naval Reserve Officers Training Corps Ground	1	6	0.17
NAVMC11886 - Service Agreement - Service Academy Student Naval Flight Officer	1	6	0.17
NAVPERS1650-1 - Department Of The NAVY Good Conduct Award	1	6	0.17
NAVPERS6110-12 - Official Cft Score Sheet	1	6	0.17
OPNAV5102-7 - Log Of NAVY Injuries  Occupational Illnesses	34	206	0.17
NAVPERS1306-96 - Recruit Division Commander Screening	18	112	0.16
OPNAV5200-7 - Request For Information Services (ris)	6	38	0.16
OPNAV2300-4 - Pentagon Consolidated Telecommunication Center Authorization For Pickup And Delivery	3	19	0.16
NAVMC10047 - Audiovisual Material Transmittal Work Request	7	45	0.16
NAVMC11675A - USMC Tri-Annual Review	2	13	0.15
OPNAV4790-163 - Alre Tool Control Inventory Sheet	2	13	0.15
NAVPERS12300-22 - Student Loan Repayment Service Agreement	2	13	0.15
NAVMC11197 - Law Enforcement Abd Physical Security Activities	85	554	0.15
NAVMC10231A - Reserve Career Planning Contact Record	10	67	0.15
NAVMCHQ335 - Hqmc Route Sheet (word Format)	36	251	0.14
OPNAV5510-21 - Security Container Records Form	8	56	0.14
OPNAV5300-8 - Opnav Staff Mentee Profile	2	14	0.14
OPNAV5300-9 - Opnav Staff Mentor Profile	2	14	0.14
NAVMC11808 - Computation Of Artillery Astronomic Observations	5	36	0.14
OPNAV5521-450 - Opnav N3ips Rsac Vtc Request	8	58	0.14
OPNAV5720-11 - Distinguished Visitor (dv)Friends Of The NAVY (fon) Embark Request	13	97	0.13
OPNAV3120-5 - Safety Hazard Report	4	30	0.13
NAVMC11668 - Statement Of Understanding - Waiver Of Sanctuary	2	15	0.13
NAVMC11810 - Computation Of Horizontal Distance From Subtense	2	15	0.13
NAVMC11895 - USMC Sports Application	10	76	0.13
NAVMC11864 - Relocation Assistance Program Individual Relocation Plan	9	69	0.13
NAVPERS1210-9 - Prospective Naval Special Warfare Officer Data Card	6	46	0.13
NAVMCHQ961 - Nomination For An Informal Hqmc Incentive Award	3	23	0.13
OPNAV4790-113 - Equipment History Record (ehr) Card	20	154	0.13
NAVMC11280 - Application For Assignment As A Career Recruiter	4	32	0.12
NAVPERS1070-120 - Request For Change To Permanent Personnel Record	2	16	0.12
NAVPERS1770-11 - Suicide Prevention Coordinator Training Registration	1	8	0.12
OPNAV5210-79 - Opnav Records File Plan	4	33	0.12
NAVMC11621 - BCP Evaluation	9	76	0.12
OPNAV5420-4 - Forum Request And Summary Report	4	34	0.12
OPNAV5090-4 - Preliminary Impact And Exposure Report (pier)	7	61	0.11
OPNAV5270-1 - Request For Enterprise Information Management Services	7	61	0.11
OPNAV5216-10PDF - CorrespondenceMaterial Cntl (4 Part)	4	35	0.11
NAVMC11773 - Training Command Unfunded Training Requirement Request	8	71	0.11
NAVPERS1300-25 - Voluntary Waiver Acknowledgement (vwa) For Mobilizing On Active Duty	2	18	0.11
NAVMC10245 - Equipment Repair Order (ero)	13	120	0.11
OPNAV4790-14 - Quarterly Pms Schedule (conventional)	4	37	0.11
OPNAV1500-57 - NAVY Credentialing Program Professional Certification And Licensing Voucher	8	76	0.11
NAVMC11751 - Authorization To Order Marine Corps Personnel Files	2	19	0.11
OPNAV7200-1 - Routine Acute MedicalDental Request Saos And Daos	2	19	0.11
NAVMC11753 - Commanders Financial Screening Worksheet (active Reserve Applicant)	7	67	0.10
NAVMC11386 - Personnel Screening For Arms Ammunition And Explosives (aae)	5	48	0.10
NAVPERS1752-1 - Sexual Assault Disposition Report	5	48	0.10
OPNAV4790-66 - Tech Publications Deficiency Rpt	3	29	0.10
NAVMCHQ207 - Referral Slip	3	30	0.10
NAVMCHQ512 - Classified Information Access Authorization	3	30	0.10
OPNAV12600-2 - Application To Restore Annual Leave	3	30	0.10
OPNAV12600-3 - Paid Parental Leave Request	3	30	0.10
NAVPERS6110-10 - Offical Bca Score Sheet	2	20	0.10
OPNAV4790-160 - Acft Launch  Recovery Equip (alre) Maint Action (for Snap I Omms)	10	107	0.09
NAVMC11650 - Alternative Work Schedule Request	4	43	0.09
OPNAV5512-10 - NAVY Command Center Access Request	5	54	0.09
NAVMC11580 - Enlisted Professional Military Education (epme) Command Screening Checklist	8	88	0.09
NAVMC11115 - Authorization For Advance Dependent Travel And-Or Dislocation Allowance	2	22	0.09
NAVMC11628 - Marcor Instructor Of Water Survival Recertification Requirements	2	22	0.09
OPNAV5100-25 - Working In Vertical Trunk Check Sheet (for Ships)	2	22	0.09
OPNAV5580-1G - Incident Report Addendum - Property	2	22	0.09
OPNAV5580-7 - InterviewInterrogation Log	2	22	0.09
NAVMC11654 - Unit Personal And Family Readiness Program Contact Authorization	5	56	0.09
OPNAV9094-1A - Engineering Trial Report Transmittal Ltr	3	34	0.09
OPNAV5580-11 - Department Of The NAVY Complaint Of Stolen Motor Vehicle	4	46	0.09
OPNAV5100-26 - Working Over The Side Check Sheet (for Submarines)	2	23	0.09
NAVPERS7421-1 - OvertimeCompensation Time Authorization Request	2	23	0.09
NAVMC11896 - Operational Risk Assessment Worksheet (oraw)	3	35	0.09
OPNAV1070-3 - NAVY Judge Advocate Generals Corps InternshipExternship Program Application	14	164	0.09
OPNAV5112-2 - Cash And Stamp Stock Count And Summary	42	497	0.08
OPNAV5512-2 - Form	8	96	0.08
NAVMCHQ942 - Directives Program Coordination Record	5	60	0.08
OPNAV12000-3 - Work Schedule Request	5	60	0.08
OPNAV5580-8 - Telephonic Threat Complaint	4	48	0.08
NAVMC11630 - Water Survival Indident Report	2	24	0.08
OPNAV5100-19 - Hazard Abatement Project Request Form	2	24	0.08
OPNAV5100-24 - Working Over The Side Check Sheet (for Ships)	2	24	0.08
OPNAV5100-29 - Application For Recertification As A NAVY Gas Free Engineer	2	24	0.08
NAVPERS5300-14 - Request For Non-Appropriated Fund (naf) Personnel Folder (seperated Employee)	1	12	0.08
NAVMC11297 - USMC Fitness Report Standard Addendum Page	4	49	0.08
OPNAV5900-3 - Opnav Service Request	4	49	0.08
NAVMC11809 - Computation Of Hasty Astronomic Observations	2	25	0.08
OPNAV5210-78 - Opnav Records Inventory	2	25	0.08
OPNAV4790-106A - Assembley Service Record	6	78	0.08
NAVMC118(13) - Record Of Conviction By Court-Martial	2	26	0.08
OPNAV4790-14B - 15-Week Pms Schedule (conventional)	2	26	0.08
OPNAV5420-3 - Cno Committee Management Program Recertification Form	2	26	0.08
NAVPERS1200-1 - Ready Reserve Transfer Request Service Agreement	2	26	0.08
NAVMC11262-2 - Crane Daily Inspection Checklist	1	13	0.08
